ds,yhat,yhat_lower,yhat_upper
2023-01-01,134.90579200000002,122.0743159754228,147.61290875712942
2023-01-02,138.92329155555555,126.12316251355135,152.45038686546653
2023-01-03,142.94079111062612,130.11209407837532,156.19423550749977
2023-01-04,146.95829063482424,134.1803077926163,159.49131105585533
2023-01-05,150.97578994620676,137.77703640294826,163.97131396064802
2023-01-06,154.99328923055603,142.5493342570539,167.76234437110026
2023-01-07,159.01078850974363,145.56796151865314,171.3715423356238
2023-01-08,163.02828780731605,150.97970343497724,175.87988678718983
2023-01-09,167.04578707483662,154.57076168616072,179.10125583627112
2023-01-10,171.0632863423572,158.26382229849847,183.8285598235525
2023-01-11,175.08078560987778,161.80813365278158,187.65389683535304
2023-01-12,179.09828487739836,165.81417228967683,192.10617157309983
2023-01-13,183.11578414491893,170.29062692670843,196.62095409747792
2023-01-14,187.13328341243954,173.80038991249492,199.81588688861868
2023-01-15,191.15078267996012,178.15338304937364,204.6136403945174
2023-01-16,195.16828194748066,182.6087118642016,208.60989848898598
2023-01-17,199.18578121500124,185.98351653949769,212.57189226452638
2023-01-18,203.20328048252182,190.06475024039506,216.370890291001
2023-01-19,207.22077975004242,193.90237540136135,219.97165625566473
2023-01-20,211.238279017563,197.98243176571447,224.27748950384964
2023-01-21,215.25577828508355,202.4182021028803,229.00590723185567
2023-01-22,219.27327755260413,205.72986522083872,232.27475177525648
2023-01-23,223.2907768201247,209.7692726115986,236.2142363954137
2023-01-24,227.30827608764525,214.29973554026287,239.79522382684706
2023-01-25,231.3257753551659,218.28704945406776,244.54300759409742
2023-01-26,235.34327462268644,222.87821735729068,248.00116375457637
2023-01-27,239.360773890207,227.04147923182316,252.53316884061965
2023-01-28,243.3782731577276,230.28541901636066,255.83978051679364
2023-01-29,247.39577242524814,233.8802596312263,260.6769190146695
2023-01-30,251.41327169276877,238.10395665888103,264.72486318932863
2023-01-31,255.43077096028932,243.4965617958077,268.17196647892735
2023-02-01,259.4482702278099,245.90673533169218,273.2577132945704
2023-02-02,263.4657694953305,250.66822272753896,276.3733605203363
2023-02-03,267.483268762851,254.28272943591176,280.90315760448203
2023-02-04,271.50076803037166,258.39828457653516,283.64333265030535
2023-02-05,275.5182672978922,262.36022151356076,288.4160830713882
2023-02-06,279.5357665654128,266.2253498807308,292.1813643334248
2023-02-07,283.5532658329334,271.04263170482835,295.9585828849955
2023-02-08,287.5707651004539,275.54494811400764,300.0495962856125
2023-02-09,291.5882643679745,277.77106932211285,304.77908204610304
